Date,Close,High,Low,Open,Volume
2008-04-21,421.39569091796875,474.9629397634733,414.2533910719015,471.3917898404396,497617500
2008-04-28,442.82269287109375,449.9649943690146,399.96888388356854,421.39578837733114,408252500
2008-05-05,449.9651184082031,464.24972534179693,442.82281494140625,449.9651184082031,401195000
2008-05-12,446.3939514160156,464.24970947265626,442.8227998046875,442.8227998046875,275832500
2008-05-19,417.8247985839844,449.96516770582934,414.25364645933496,446.39401558117993,337422500
2008-05-26,396.397705078125,417.824608055321,392.8265545819257,407.111156566723,599760000
2008-06-02,389.2554626464844,403.5400667803003,378.5420095461225,399.96891574684633,560077500
2008-06-09,371.399658203125,385.6842604417068,360.6862065241887,371.399658203125,450105000
2008-06-16,362.3084411621094,387.9262097291272,354.98907871438996,373.28748483368844,381380000
2008-06-23,344.00994873046875,358.6486699530419,333.03090781353893,344.00994873046875,819417500
2008-06-30,380.6068115234375,395.2455350435697,347.66968360314,362.3084071232722,643457500
2008-07-07,409.8841552734375,417.2035151890346,365.9679957798549,380.6067156110491,511115000
2008-07-14,391.58587646484375,413.5439629955826,380.6068331994743,409.88428190712614,292540000
2008-07-21,431.8423156738281,453.80039952164987,398.90518990209546,409.8842318260063,655492500
2008-07-28,428.18255615234375,457.4599958892561,424.5228761852297,435.50191608657184,256337500
2008-08-04,431.8423156738281,453.80039952164987,424.5229543912209,439.1616769564354,303295000
2008-08-11,450.1407165527344,450.1407165527344,409.8842297065549,435.50199406321457,283162500
2008-08-18,428.18255615234375,453.8003159221421,428.18255615234375,450.140635955028,196302500
2008-08-25,464.779296875,475.75833538385825,431.8421813484252,446.4808993602362,384745000
2008-09-01,475.7584228515625,494.0568237304688,457.4600219726563,468.43906250000003,627140000
2008-09-08,398.9052429199219,497.7166333679759,395.24556179221617,479.4182277294474,533700000
2008-09-15,464.779296875,475.75833538385825,365.96795029527556,387.9260273129921,592617500
2008-09-22,464.779296875,486.7373738927165,442.82121985728344,475.75833538385825,420312500
2008-09-29,461.11968994140625,486.73745049370655,461.11968994140625,461.11968994140625,27960000
2008-10-06,420.86309814453125,475.7582848590353,420.86309814453125,424.5227772588315,207100000
2008-10-13,380.6068115234375,475.7585144042969,376.9471306434044,424.5229820838341,812422500
2008-10-20,354.989013671875,446.48102750483247,351.3293331185567,391.585819205058,350250000
2008-10-27,395.24554443359375,409.8842683015046,292.77447735821755,322.05192509403935,658982500
2008-11-03,420.86309814453125,431.8421354874321,380.6066278872282,413.5437399159307,481207500
2008-11-10,424.5230712890625,439.1617978852371,391.5859364476697,424.5230712890625,203927500
2008-11-17,376.9471130371094,420.86328154628717,358.6487094916186,398.90519729169824,528155000
